WKT,municipio_colonia
"MULTIPOLYGON (((-110.923301215938 31.2869158997233,-110.922965960915 31.2867583424871,-110.922769940095 31.2865840303376,-110.922582476446 31.2865307298771,-110.922346640638 31.2865341630913,-110.921676344568 31.2863035484738,-110.921520059664 31.2862778531537,-110.921367578201 31.2862690151387,-110.920757795443 31.2863518865768,-110.920391539152 31.2863685869747,-110.919983549717 31.2862785978587,-110.919703055475 31.2862060366965,-110.919576022874 31.286182864849,-110.919232004745 31.2862727204323,-110.918933975178 31.2862860355356,-110.918576604507 31.2862331004813,-110.918247289835 31.2862597234434,-110.917588999382 31.2863289550844,-110.917425952439 31.2862854178891,-110.917220294634 31.2862253793493,-110.917030199816 31.2860186224014,-110.916935781292 31.2858806288799,-110.916777211625 31.2855575886008,-110.916616742616 31.2854448707081,-110.916301367866 31.2853068603842,-110.916035946414 31.2851000311257,-110.915787779622 31.2849017051736,-110.915138681247 31.2845522953865,-110.914704918466 31.2842401092339,-110.913335516163 31.2838230576575,-110.902590453566 31.2805268564734,-110.908167935073 31.2720944822483,-110.914023130086 31.2730436399083,-110.914107396914 31.2730555578096,-110.919542756429 31.2738242062157,-110.920088899002 31.2738908029081,-110.921053244093 31.2742412177442,-110.922023799852 31.2743827901599,-110.92748483626 31.2754808183585,-110.928359301039 31.2756166765621,-110.928583663132 31.275646587987,-110.928535804168 31.2758617391748,-110.928651724174 31.2766410968959,-110.928660385927 31.2766831479481,-110.929336629503 31.2799659104926,-110.929410130245 31.2802529234329,-110.929530436381 31.2804568772733,-110.929265046364 31.2812595977726,-110.929912439434 31.2817999680367,-110.930047431815 31.2818590455189,-110.930258272592 31.281865263701,-110.930398322568 31.2818152386061,-110.930364729103 31.2814848128204,-110.930406640878 31.2813823332803,-110.930485595953 31.2813397304146,-110.931147529236 31.2813697149144,-110.931505682114 31.2814875690697,-110.931802497161 31.2816206129796,-110.932273074067 31.2818683668047,-110.932432584528 31.2819178912677,-110.932679259754 31.281980175501,-110.932729437334 31.2820017545844,-110.932879864399 31.2820664496904,-110.932859766391 31.2825749757631,-110.932881079801 31.2826738694461,-110.930412448025 31.2826378091693,-110.930297518839 31.2826876791182,-110.930222427602 31.2827431470143,-110.929723623286 31.2830417332349,-110.925736007285 31.2863445675166,-110.925269203242 31.286356249413,-110.92527401883 31.2869740822574,-110.924539350443 31.2869219824066,-110.924037480053 31.286936475085,-110.923301215938 31.2869158997233)))","Nogales, San Miguel"
"MULTIPOLYGON (((-110.955264302354 31.2843644642062,-110.954246872456 31.2829971552711,-110.954262815291 31.2829439802602,-110.954308109416 31.282905248194,-110.954389488516 31.2828848601411,-110.954469725767 31.2828216280578,-110.954500390524 31.2827288497348,-110.954519620448 31.2826399774991,-110.954491208571 31.2825582174841,-110.954455053942 31.282434602494,-110.954458532854 31.2823585112392,-110.954486791766 31.2822703685669,-110.954748910361 31.2821568113511,-110.955442697419 31.2818926793346,-110.955661133374 31.2817878353111,-110.956689198265 31.2828587366409,-110.956743974893 31.282905805816,-110.956768041904 31.2831506391325,-110.956898781373 31.2833338180806,-110.95752897228 31.2840457146741,-110.958255705524 31.2850656389742,-110.957919168958 31.2858663118038,-110.957906727572 31.2858958963543,-110.958049572507 31.2859650264724,-110.95813201386 31.2860051635325,-110.957851824462 31.2865630054602,-110.957437052157 31.2872836063364,-110.957345509825 31.2874010763402,-110.956563949436 31.286123655412,-110.955683271791 31.2849442449394,-110.955264302354 31.2843644642062)))","Nogales, San Sebastian"
"MULTIPOLYGON (((-110.972906975748 31.2962875811109,-110.971482284986 31.295752446055,-110.968848212654 31.2955338151908,-110.968475595403 31.2954200939902,-110.968478308578 31.2953878618108,-110.968480257038 31.2953620352534,-110.96848378023 31.2953156513722,-110.968503622251 31.2946870776475,-110.968489626354 31.2946051913492,-110.968804849859 31.2940093834264,-110.968341627968 31.293705170296,-110.967503944051 31.2931638637632,-110.968071223547 31.2929481108088,-110.968871805376 31.2926622525824,-110.969375203176 31.2924572025649,-110.96970435722 31.2923527603918,-110.969802255682 31.2927764020739,-110.969958908439 31.2930599692815,-110.970080649473 31.2932100513798,-110.970231846694 31.2932916278542,-110.97028191074 31.2933313069279,-110.970610877519 31.2935112155603,-110.970872133048 31.2936487379895,-110.971118949246 31.2937507551174,-110.971462582847 31.2939072992935,-110.971647148661 31.293985966084,-110.972366358525 31.2943198125698,-110.973412442603 31.2948403248575,-110.973756472255 31.2948582230682,-110.973847105461 31.2949900448652,-110.973781953751 31.2952322161778,-110.973719032917 31.2954396044968,-110.97369493325 31.2955006942223,-110.973579324301 31.295747593417,-110.973445490423 31.2959152322387,-110.973398459374 31.2960052658557,-110.973423854349 31.2961470723471,-110.9735049385 31.2962227941238,-110.973615365339 31.296264007478,-110.973752566003 31.2963004360677,-110.973910966376 31.2963177107417,-110.974053751699 31.2963311496605,-110.974158613883 31.2963235076991,-110.974283973945 31.2962941929693,-110.974391646222 31.2962572345533,-110.974413915565 31.296245802773,-110.97462643362 31.2961491291151,-110.974624802757 31.2961798223318,-110.974758392439 31.296657376945,-110.974804195506 31.296910916734,-110.974820171193 31.296963324514,-110.974667021055 31.2969032511805,-110.974387617069 31.2968166572575,-110.972906975748 31.2962875811109)))","Nogales, Santa Fe"
"MULTIPOLYGON (((-110.930755874719 31.3204363608849,-110.931043415385 31.3203824597779,-110.931568382207 31.3202841662967,-110.931833178449 31.3202980071102,-110.931925242557 31.320327119222,-110.931981586415 31.3203366445779,-110.932038605542 31.3203837722403,-110.932268159125 31.3204804270878,-110.932316486979 31.3204401536403,-110.932581472964 31.3205285228553,-110.93298099539 31.3207356398561,-110.933070575156 31.3206794970589,-110.933603814682 31.3209097888748,-110.93361988391 31.3209683448996,-110.93306816846 31.3219842166603,-110.932661633791 31.3225943351938,-110.932229050717 31.323783721673,-110.932201787257 31.3238464558982,-110.931882816474 31.3234746162121,-110.931507769161 31.3229043526099,-110.931313156044 31.3229020097688,-110.930951892859 31.3229834961068,-110.930749046196 31.3218511216174,-110.930787191417 31.3218454217077,-110.931347398648 31.3217421162813,-110.93163445634 31.3216812525773,-110.930891342003 31.3206574688567,-110.930755874719 31.3204363608849)))","Nogales, Seguro Social"
"MULTIPOLYGON (((-110.918685054794 31.3309028198812,-110.919852328692 31.3278768357339,-110.921712746905 31.3284315036976,-110.923981325771 31.3289171106645,-110.924985641436 31.3291681854924,-110.926590659849 31.3295037094559,-110.926499792054 31.3297735441507,-110.926514650174 31.3299472863168,-110.926028315958 31.3315118075286,-110.925851970054 31.3328628648984,-110.918734434279 31.3328770236789,-110.918685054794 31.3309028198812)))","Nogales, Serena Residencial"
"MULTIPOLYGON (((-110.910324035671 31.2975523308505,-110.910263131336 31.2972936292343,-110.909479821582 31.2973977854295,-110.909355647792 31.297335968543,-110.909241913443 31.2971892141774,-110.909179512462 31.2969496012257,-110.910660046858 31.2967746298784,-110.913335516163 31.2838230576575,-110.914704918466 31.2842401092339,-110.915138681247 31.2845522953865,-110.915787779622 31.2849017051736,-110.916035946414 31.2851000311257,-110.916301367866 31.2853068603842,-110.916616742616 31.2854448707081,-110.916777211625 31.2855575886008,-110.916935781292 31.2858806288799,-110.917030199816 31.2860186224014,-110.917220294634 31.2862253793493,-110.917425952439 31.2862854178891,-110.917588999382 31.2863289550844,-110.918247289835 31.2862597234434,-110.918576604507 31.2862331004813,-110.918933975178 31.2862860355356,-110.919232004745 31.2862727204323,-110.919576022874 31.286182864849,-110.919703055475 31.2862060366965,-110.919983549717 31.2862785978587,-110.920391539152 31.2863685869747,-110.920757795443 31.2863518865768,-110.921367578201 31.2862690151387,-110.921520059664 31.2862778531537,-110.921676344568 31.2863035484738,-110.922346640638 31.2865341630913,-110.922582476446 31.2865307298771,-110.922769940095 31.2865840303376,-110.922965960915 31.2867583424871,-110.923301215938 31.2869158997233,-110.923310288633 31.2869596851095,-110.923366364544 31.2872840715087,-110.923380237991 31.2873059759566,-110.923286455941 31.2873439142239,-110.923020203617 31.2876467753311,-110.922697041197 31.2880482611857,-110.922720165012 31.2881106943541,-110.922647415816 31.2881902571207,-110.922568328896 31.2882915272035,-110.922456627141 31.2883430228441,-110.92236804858 31.2884578562988,-110.922157185727 31.2886811709569,-110.922003233179 31.2888719527547,-110.921702722122 31.2892254773328,-110.921656309591 31.2893023415173,-110.921190276191 31.2898185953296,-110.921663033769 31.2900875574907,-110.92153643826 31.2903127308521,-110.921491090762 31.2903733133582,-110.921208601856 31.2905830123787,-110.920741663379 31.290869444883,-110.920251640249 31.2911270038972,-110.920611579716 31.2915225462338,-110.920558878997 31.2915577946031,-110.919579185975 31.2921840871068,-110.919927026572 31.292562436697,-110.920223823439 31.292886475706,-110.920559452668 31.2932677351518,-110.921044080956 31.2929423060603,-110.92150607886 31.2926258300138,-110.92198670557 31.2923131233194,-110.922454677719 31.2920112631831,-110.923110318639 31.2916419728348,-110.923248691167 31.291903241508,-110.922360354841 31.2924602076191,-110.919779336656 31.2941126941131,-110.91919934319 31.2944358620163,-110.916355890111 31.2959025599483,-110.914709472839 31.296742475502,-110.914199993354 31.2969178535288,-110.913780132414 31.2970043218786,-110.913409536565 31.2970727445008,-110.913031281753 31.2971316113368,-110.913039444507 31.2971586119843,-110.913123487972 31.2974824518441,-110.91313146393 31.2975225988686,-110.912069425174 31.2976559095311,-110.911049649446 31.2977621230309,-110.910958830089 31.2977715818272,-110.910670317551 31.2977811869925,-110.910347825746 31.2977286017806,-110.910324035671 31.2975523308505)))","Nogales, Solidaridad"
"MULTIPOLYGON (((-110.973668956746 31.2640710931026,-110.973682178217 31.2640215175151,-110.973488126194 31.2637709697523,-110.973393858061 31.2636132778103,-110.973329254895 31.2631913738901,-110.97324747068 31.2629948780301,-110.973000872929 31.2625699732966,-110.972533182007 31.261820969747,-110.972285647414 31.2615412433939,-110.971990994819 31.2612046738837,-110.971785543343 31.2610137360429,-110.971376334814 31.2607030653366,-110.970813386552 31.2602968960549,-110.970548829724 31.2600875797086,-110.970316949456 31.2599097735709,-110.969932763235 31.2595991048981,-110.969807849409 31.2594460733925,-110.969787759447 31.2593130755344,-110.96973708153 31.2592539117391,-110.96969673856 31.2591928108877,-110.969666739907 31.2590958582493,-110.971611762068 31.2590792261776,-110.971813247541 31.2591177120257,-110.971912656753 31.259118723536,-110.971482486107 31.2569972641146,-110.97161630918 31.2569124796321,-110.973226556458 31.2569197111556,-110.973608466758 31.2570203019258,-110.973845161128 31.2570238159185,-110.974285810214 31.257002064962,-110.975350914439 31.2601507989521,-110.976452069079 31.263368628113,-110.976588062682 31.2640866212636,-110.976449021241 31.2641044390477,-110.976025276272 31.2641016667189,-110.975327782742 31.2640866100048,-110.97480938708 31.264081747717,-110.974291422494 31.2640768876296,-110.973897281341 31.2640731873228,-110.973668956746 31.2640710931026)))","Nogales, Terranova"
"MULTIPOLYGON (((-110.957851824462 31.2865630054602,-110.95813201386 31.2860051635325,-110.958049572507 31.2859650264724,-110.957906727572 31.2858958963543,-110.957919168958 31.2858663118038,-110.958255705524 31.2850656389742,-110.95752897228 31.2840457146741,-110.956898781373 31.2833338180806,-110.956768041904 31.2831506391325,-110.956743974893 31.282905805816,-110.956689198265 31.2828587366409,-110.955661133374 31.2817878353111,-110.955888403964 31.2816006738846,-110.956934724021 31.2827162585404,-110.957111460453 31.2828543067453,-110.957843499726 31.2838159941659,-110.958937251724 31.2851667668625,-110.959378535132 31.2859452000654,-110.959408972237 31.2859866204081,-110.959451804875 31.2861210682532,-110.95872250654 31.2868364047004,-110.958632287296 31.2869242788482,-110.958585667693 31.2869697427672,-110.957951619062 31.2866183291513,-110.957851824462 31.2865630054602)))","Nogales, Torralba"
"MULTIPOLYGON (((-110.969756313819 31.2828331862522,-110.970060958379 31.2825760510897,-110.971497628149 31.2812232822874,-110.971923548435 31.2808080866638,-110.971944230406 31.2808414535584,-110.972905465093 31.2826154138973,-110.974307653328 31.2850036375588,-110.973054312007 31.2847885954677,-110.97269674697 31.2847576567896,-110.97249467385 31.2848180709134,-110.972141225491 31.2849426761729,-110.972084324596 31.2849640210415,-110.971650242816 31.2851272286243,-110.970672549278 31.2840748720981,-110.970338060338 31.2837148330545,-110.969756313819 31.2828331862522)))","Nogales, Valle del Marquez"
"MULTIPOLYGON (((-110.964704610707 31.3002930699549,-110.964612330833 31.3003257824227,-110.964448880963 31.2999347666333,-110.963083205924 31.3003592927064,-110.963083347072 31.2999273925725,-110.963070824553 31.2994405768612,-110.963038606492 31.2988498821911,-110.963052399977 31.2987712959628,-110.963980779921 31.2989599607012,-110.964132394508 31.2989864979039,-110.964514443677 31.2990533715647,-110.96469290799 31.2990846082974,-110.964903912588 31.2991299098658,-110.965105401214 31.2991742606793,-110.965463532304 31.2992440713494,-110.965590444207 31.2992637097915,-110.966420778731 31.2994025915424,-110.966856453078 31.2994620619698,-110.966814836557 31.2995063313634,-110.966727094373 31.2995996585107,-110.966701246628 31.2996588292523,-110.966380388083 31.3003910994287,-110.966454993505 31.3004526409191,-110.965762292857 31.3002101501149,-110.965233445356 31.3001381683855,-110.965180697606 31.3001293844363,-110.965034184366 31.3001653900183,-110.964780475628 31.3002407186463,-110.964704610707 31.3002930699549)))","Nogales, Valle del Mediterraneo"
"MULTIPOLYGON (((-110.918433359947 31.3127968292696,-110.918554655505 31.3127537764237,-110.918579166972 31.3126790424037,-110.91857792304 31.3115153431243,-110.918586726844 31.3113036382278,-110.918668621671 31.3110624496723,-110.918876352752 31.3107972776375,-110.919328832282 31.3103007235426,-110.919407926504 31.3102561686211,-110.919629340778 31.3101903715762,-110.920054213098 31.3100656722773,-110.920266925438 31.3099987580135,-110.920467531319 31.3099408928941,-110.920730723055 31.3099051194506,-110.920919812246 31.3098540140763,-110.920999025576 31.3097952428945,-110.921072531984 31.3096994120481,-110.921244330206 31.3094502825642,-110.921402438908 31.3093244382791,-110.921575543797 31.3090840724697,-110.921566232272 31.3090409278341,-110.921772466173 31.3088151197945,-110.921796882959 31.3087501004204,-110.921896164982 31.3087018746349,-110.922015795864 31.3086040227615,-110.922033142623 31.3085635373268,-110.922189178204 31.3085711252275,-110.922536428054 31.3087057864441,-110.922638285632 31.3085149489228,-110.922747610613 31.3083116955275,-110.922845558525 31.3077864066587,-110.922999620219 31.3075282225042,-110.923173303745 31.3072540753791,-110.923712041441 31.307270486233,-110.924629468675 31.3074551546104,-110.924783470378 31.3072185918217,-110.925523549651 31.3062912334909,-110.925780830316 31.3059875020383,-110.926068938005 31.3056611194013,-110.926193317916 31.3055202151013,-110.926275749751 31.3054592158619,-110.927143028271 31.3058057767185,-110.927419937236 31.3058753970872,-110.927803435097 31.3060403201571,-110.928066215772 31.306215871683,-110.928221493816 31.3062868215009,-110.9283772802 31.3063393399504,-110.928653872346 31.306364668774,-110.928896768012 31.3063739601908,-110.929007369705 31.3063781970089,-110.92932165734 31.3064360512173,-110.929539534443 31.3065154809972,-110.929706468591 31.3065937306388,-110.929813067981 31.3066521599708,-110.929490369128 31.3071792838803,-110.92917924651 31.3076812984871,-110.929067172704 31.3079423374374,-110.928967878486 31.3081735968867,-110.928952409109 31.3083310540229,-110.929008310613 31.3084299141536,-110.929092484698 31.3086135429062,-110.929041707194 31.3088545905794,-110.928965061682 31.3091092729481,-110.928923576331 31.3091611014596,-110.928771464292 31.3093685276094,-110.928569223418 31.3096122530056,-110.928487981165 31.3098058506337,-110.928422296991 31.3099925375633,-110.927673090907 31.30983367371,-110.92731346973 31.3097589122725,-110.927220303179 31.3101790682334,-110.927160979464 31.3103681604114,-110.926960714741 31.3103220142741,-110.926888301796 31.310306011666,-110.926900533802 31.3102594146681,-110.926656232229 31.3101829603552,-110.926525859152 31.3103808120236,-110.926497166372 31.3104562100455,-110.926457178551 31.3105371533891,-110.926388155765 31.3106236109584,-110.926291708088 31.3107235088939,-110.926293992612 31.3108145072295,-110.926298557704 31.3108477021383,-110.926231273424 31.310970739068,-110.926277812869 31.3112256776205,-110.926351571745 31.3113936372973,-110.926422796763 31.311515145627,-110.926444492208 31.3115716327777,-110.926478334353 31.3117082592413,-110.926185205374 31.3117293728604,-110.925981045678 31.3117403663281,-110.925728125263 31.3117496538569,-110.925683132875 31.3117476178232,-110.925652518495 31.3117177816905,-110.925632431207 31.3116987585437,-110.925587130958 31.3116171478526,-110.925518601489 31.3115606908177,-110.925435952643 31.3115345854489,-110.925292184808 31.3115170265766,-110.924985979277 31.3115308361869,-110.924601881031 31.3115533452936,-110.924440170997 31.3115519653802,-110.924278460966 31.3115505853102,-110.924105012864 31.3115334194916,-110.923986337797 31.3114967292241,-110.92390970579 31.3114522801018,-110.92385846717 31.3114053429455,-110.923764666548 31.3113057691428,-110.923526523056 31.3110888632509,-110.923432727652 31.3110341456533,-110.923332142351 31.3109754659093,-110.923160891025 31.3112764786469,-110.923007776761 31.3115367960122,-110.922885325635 31.3117212316795,-110.922752924722 31.3119707558288,-110.922660514317 31.3120067167109,-110.921337062612 31.3123586379084,-110.92104565841 31.312436055614,-110.919775897035 31.3127738181654,-110.919472780633 31.3128257636886,-110.919431051386 31.3128355010374,-110.919269607018 31.3128446822329,-110.9188829719 31.3129070381104,-110.918433359947 31.3127968292696)))","Nogales, Veracruz"
"MULTIPOLYGON (((-110.959231261783 31.297677362275,-110.959146074524 31.2970030130295,-110.959122529837 31.2967934106715,-110.959703150297 31.2966883667015,-110.95974435574 31.2962068920076,-110.959745212135 31.295782990098,-110.959747858628 31.2955769899239,-110.95983591578 31.2954409985477,-110.959839110844 31.2951134736284,-110.959992327454 31.2942894933349,-110.960539435895 31.2943463120992,-110.961073037839 31.2944086780492,-110.961591471558 31.2944656250822,-110.961461582947 31.2945556391345,-110.961402455913 31.2948246105954,-110.961426589529 31.2948389848896,-110.962948021131 31.2948476013695,-110.962946058531 31.2949222480018,-110.962943871151 31.2949628228714,-110.962915991033 31.2955780544575,-110.962796010008 31.2955658986405,-110.962342595615 31.2954157638186,-110.962289089633 31.2956409186938,-110.962043051361 31.2956068934029,-110.96204064268 31.295628091337,-110.961808055752 31.2976744043981,-110.961634644766 31.2977668657743,-110.961582929445 31.2982925296693,-110.961445483975 31.2983067400549,-110.961414210225 31.2983457156287,-110.961389050534 31.2986087455661,-110.961346013862 31.2986805379822,-110.961232022368 31.2986578482109,-110.9610116862 31.298585949062,-110.960911389522 31.2985597615525,-110.960504911974 31.2985001342356,-110.960095550018 31.298475780489,-110.959780651454 31.2984615247154,-110.959503818838 31.2980646323352,-110.959231261783 31.297677362275)))","Nogales, Villa Bonita"
"MULTIPOLYGON (((-110.956424607085 31.2932663949388,-110.956531320767 31.2931511609731,-110.95664821793 31.2929730069257,-110.957017781565 31.2922642639107,-110.957042908685 31.2922161006309,-110.957408813553 31.2916388834666,-110.957449074753 31.2916545762185,-110.958435044571 31.2920157017162,-110.957934847266 31.2937584243643,-110.957864003688 31.2939376696618,-110.957832883611 31.2940380303283,-110.957413355709 31.2938515985623,-110.956573501065 31.2934422566565,-110.956424607085 31.2932663949388)))","Nogales, Villa Guadalupe"
"MULTIPOLYGON (((-110.937507433064 31.2576366168562,-110.937474556409 31.2573444049698,-110.935381907281 31.2573477896532,-110.934720048553 31.2575682120433,-110.933872007302 31.2576064087889,-110.93273618389 31.2575334622487,-110.931276990298 31.2569650558729,-110.929652430527 31.2510318688866,-110.943147174707 31.2513435599443,-110.943562677367 31.2548922533474,-110.944815253214 31.2557070560028,-110.945101420583 31.2561769502875,-110.945697274093 31.2562838839537,-110.945743837836 31.2564720897755,-110.946928187428 31.2564416891555,-110.946758354345 31.2548814583179,-110.94610636047 31.2513745025705,-110.946270030425 31.2513639898171,-110.947729510654 31.2539548629025,-110.951383853934 31.2548183848807,-110.954823487546 31.253948896827,-110.95491777705 31.254234493935,-110.954977469709 31.2544837563442,-110.955007556343 31.2549918079947,-110.954979299063 31.2551946430674,-110.954888166926 31.2555109734835,-110.954750070335 31.255821756547,-110.954784594115 31.2559106606756,-110.954750693616 31.2559810077138,-110.953625946573 31.256806409347,-110.953522735044 31.2568653286514,-110.9524172269 31.2576022946438,-110.951613606804 31.2583603384629,-110.951267318056 31.2585876271997,-110.950374809039 31.2595712835674,-110.949451775814 31.2605992447366,-110.949155488022 31.2609484025823,-110.949009100049 31.2612372636583,-110.948964615859 31.2614524388634,-110.948866057965 31.2619735344267,-110.948698524285 31.2626725526222,-110.948605454553 31.2630043630253,-110.947741577784 31.2628348034883,-110.947358063959 31.2633375758266,-110.946804082836 31.2639581944388,-110.946147791038 31.2646082823942,-110.94586624729 31.2643760813911,-110.945780707028 31.2644272175649,-110.94510797674 31.2643925278154,-110.94454638824 31.2643475657585,-110.944501393188 31.2650038304642,-110.944162711729 31.2649724957412,-110.943948488945 31.2649526729506,-110.94379628677 31.2649385899758,-110.943488121266 31.2649059574204,-110.943499226988 31.2647102209256,-110.943496976394 31.2645820227318,-110.943467691365 31.2644589188081,-110.943243315681 31.2644492132208,-110.943057385669 31.2644371221957,-110.942768007016 31.2644207813475,-110.94276299513 31.2644521717549,-110.942556595053 31.2644473277804,-110.94247269052 31.2644493202629,-110.942092318063 31.2643181179475,-110.941940191447 31.2641662592137,-110.941693946177 31.2638333819655,-110.941499207923 31.2634944777397,-110.941277127646 31.2630582760308,-110.940632531711 31.2618206959983,-110.940351172301 31.2612873642585,-110.940291426972 31.2610430432805,-110.940238285574 31.2608848609045,-110.940182978524 31.2608081216159,-110.93996657462 31.2605979866409,-110.939605130369 31.2600253516564,-110.939567725884 31.2599441906043,-110.93956390443 31.2598434141699,-110.939425326102 31.2598011850881,-110.939167565638 31.2596737847548,-110.938592270405 31.259275496576,-110.938491186678 31.2591251948935,-110.938385619923 31.2588756679922,-110.938367181944 31.2586248840165,-110.938402841911 31.2584134079822,-110.938428494649 31.258247913928,-110.938439812532 31.2576019955564,-110.937507433064 31.2576366168562)))","Nogales, Villa Sonora"
"MULTIPOLYGON (((-110.937148454867 31.2621824557812,-110.935753539931 31.2589672447831,-110.93273618389 31.2575334622487,-110.933872007302 31.2576064087889,-110.934720048553 31.2575682120433,-110.935381907281 31.2573477896532,-110.937474556409 31.2573444049698,-110.937507433064 31.2576366168562,-110.937520070144 31.2579433340271,-110.937576768619 31.2585422901334,-110.937565471406 31.2587137719196,-110.937579245842 31.2592789802796,-110.937675154 31.2595560093246,-110.937907624255 31.2599853535136,-110.937971867703 31.2603225013725,-110.938119554073 31.2608072327225,-110.938507589618 31.2617319165899,-110.938655654082 31.2622648598714,-110.938706688504 31.2625978135224,-110.938793973053 31.2628507461483,-110.938870829554 31.263039046761,-110.93895629007 31.2632093054081,-110.939006528026 31.2633411792365,-110.938533295004 31.2634262336748,-110.937148454867 31.2621824557812)))","Nogales, Vistas del Sur"
"MULTIPOLYGON (((-110.936474215992 31.2649389888863,-110.93625058699 31.264810714011,-110.936139892703 31.2647682602386,-110.935974497461 31.2647349469955,-110.935871837918 31.2646927691779,-110.935768100128 31.2646501458261,-110.935521476338 31.2645488193822,-110.935389137274 31.264537035915,-110.935256796977 31.2645158256605,-110.935176841907 31.2644710488594,-110.935080344164 31.2643862068658,-110.934989644013 31.2642726541474,-110.934904371849 31.2641202059024,-110.936013105501 31.2636049301548,-110.937220285604 31.2641213205027,-110.938539504876 31.2648701459851,-110.939078932905 31.2650409265112,-110.93917971459 31.2651671714564,-110.939187361272 31.2651970169711,-110.939051689806 31.2653892032479,-110.938975875045 31.2656382799355,-110.938940928272 31.2655473714022,-110.93888172126 31.2655358240838,-110.93882578887 31.2655086741561,-110.938779602728 31.2656587629703,-110.938588273001 31.2656002332327,-110.937805905224 31.2653583257081,-110.937554463656 31.2652805793493,-110.937310863938 31.2652048223349,-110.937074821213 31.265132270028,-110.936801822218 31.2650493472281,-110.936706527763 31.2650207744213,-110.936611233286 31.2649922006612,-110.936474215992 31.2649389888863)))","Nogales, Vistas del Sur 2"
"MULTIPOLYGON (((-110.929813067981 31.3066521599708,-110.929706468591 31.3065937306388,-110.929539534443 31.3065154809972,-110.92932165734 31.3064360512173,-110.929007369705 31.3063781970089,-110.928896768012 31.3063739601908,-110.928653872346 31.306364668774,-110.9283772802 31.3063393399504,-110.928221493816 31.3062868215009,-110.928066215772 31.306215871683,-110.927803435097 31.3060403201571,-110.927419937236 31.3058753970872,-110.927143028271 31.3058057767185,-110.926275749751 31.3054592158619,-110.925921637712 31.3052525061734,-110.925394331935 31.3049047556535,-110.925180501504 31.3047157390463,-110.924984651827 31.3045690234193,-110.924681674398 31.3044965493284,-110.924015741387 31.3043313054084,-110.923880983271 31.304338012883,-110.923635300228 31.3038777964356,-110.923590629716 31.3037502456062,-110.924173166499 31.3035337698361,-110.924508721273 31.3034084785997,-110.925151875937 31.3031552244159,-110.926055162173 31.302799224151,-110.926160575386 31.3027524022147,-110.926240065635 31.3027611257305,-110.926476961409 31.3026643266802,-110.926660568991 31.3031692672426,-110.926662724188 31.3033065821628,-110.927190512913 31.3033532602521,-110.927371155869 31.3033885542686,-110.92788927321 31.3033005355114,-110.928528214263 31.3031871148036,-110.928672997772 31.3034790395886,-110.92878770525 31.3037350004309,-110.929084506815 31.30362582137,-110.929162983679 31.3038572307494,-110.929144748017 31.3039810973208,-110.929149910604 31.3040092882055,-110.929165874133 31.3040356362031,-110.929380884599 31.304175219419,-110.929355782449 31.3042404657599,-110.928924352858 31.3046867791948,-110.929177333715 31.3048842323224,-110.928813414437 31.3054617384156,-110.92863043252 31.3057482329408,-110.928819043061 31.3057117124832,-110.92904806553 31.3056720025705,-110.929241679534 31.305949684924,-110.929276103339 31.3059497039174,-110.929311468361 31.3059387453214,-110.929497222773 31.3058193666031,-110.929657019283 31.3059383469142,-110.929996651871 31.3060965969823,-110.930485195934 31.3052500021057,-110.930645384793 31.305189048025,-110.931002335187 31.3060284565996,-110.930421938496 31.3064170108653,-110.930344612984 31.3065041470778,-110.930324196664 31.3066192098997,-110.930332275064 31.3066924439172,-110.930397210974 31.3068633463164,-110.930504952527 31.3070004007257,-110.930414364047 31.3069484124434,-110.929813067981 31.3066521599708)))","Nogales, Zaragoza"
