WKT,municipio_colonia
"MULTIPOLYGON (((-109.554600758455 31.3335316045876,-109.554577378723 31.3332772230378,-109.554509517569 31.3325167567973,-109.554417518632 31.3315367882113,-109.554323898581 31.3305192738219,-109.554276022257 31.3300478257072,-109.554234641202 31.3295092519835,-109.55413801493 31.3284967253719,-109.555123908745 31.3284934568433,-109.555165245881 31.3284933194487,-109.556109803443 31.3284901806554,-109.556160531059 31.3284900119705,-109.557204012124 31.328486535324,-109.557104321174 31.3275444935675,-109.556998144226 31.3265411383259,-109.556892030577 31.325538356071,-109.556787900008 31.3245543116705,-109.556680478544 31.3235391360883,-109.556576286156 31.3225544686352,-109.556518507795 31.3219677351437,-109.556477887733 31.321568914709,-109.557497526382 31.3214780682679,-109.558511033777 31.3214894540908,-109.559567438003 31.3215009574082,-109.559684628333 31.3225499101733,-109.559885575876 31.3224414373255,-109.561610605771 31.3220767146882,-109.561675418237 31.3225542560175,-109.562545875105 31.3225173345269,-109.562640854928 31.3225145173053,-109.563359887181 31.322493186117,-109.563613663134 31.3224856574676,-109.563688126381 31.3224834481837,-109.564720951583 31.3224950008786,-109.56573521107 31.3224932751578,-109.565846175066 31.3215279384693,-109.56564193095 31.3210335789966,-109.565632366168 31.3208868602396,-109.565578701569 31.3200636978733,-109.565576002553 31.3199162366064,-109.565549238591 31.3196139993158,-109.566205934579 31.3196364370073,-109.566409661089 31.3195283103501,-109.566577426501 31.3193685238379,-109.566615880827 31.3191880372269,-109.567262830361 31.319167738336,-109.567769710136 31.3189045919293,-109.567597067811 31.3196062046925,-109.56738812349 31.3204551003154,-109.567241619157 31.3210503065717,-109.56718170532 31.3212910178155,-109.5668864165 31.3224773614081,-109.566625817176 31.3235220028305,-109.566369466525 31.3245501719727,-109.566146180576 31.3254510583357,-109.565887753818 31.3264936977437,-109.565204111587 31.3264920305337,-109.565085662333 31.3264917411328,-109.564134786468 31.3264894141875,-109.563072534019 31.3264868186956,-109.56299316153 31.3264866239817,-109.562092095797 31.326484408968,-109.562024131584 31.3264842421304,-109.561055506846 31.3264818480005,-109.560057694638 31.3264794063701,-109.560167761419 31.3275084868765,-109.56027127247 31.3284762677639,-109.560378385321 31.3294774669439,-109.560485498042 31.3304786500342,-109.56059322635 31.3314855709994,-109.560704355182 31.3325242501186,-109.560781304855 31.3332434586963,-109.560811566195 31.3335262898666,-109.554600758455 31.3335316045876)),((-109.545704968187 31.3256085888977,-109.545497085518 31.3245655713794,-109.545385555127 31.3235686233551,-109.545255907392 31.322571471556,-109.545162204752 31.3215992783589,-109.545069294473 31.3206791180246,-109.545578913751 31.3206698185144,-109.546104514277 31.3206602105553,-109.546639964229 31.3206509562863,-109.547133831253 31.3206489586054,-109.547183837515 31.3211152288372,-109.547236525705 31.3216065005239,-109.547339222414 31.3225640336657,-109.547417935978 31.323297948277,-109.547422632051 31.3233417244322,-109.547476248899 31.3238416408435,-109.547544873306 31.324534345517,-109.547650338103 31.3255988992066,-109.546644307779 31.3256039131416,-109.546586626983 31.3256042008337,-109.545704968187 31.3256085888977)))","Agua Prieta, Centro"
"MULTIPOLYGON (((-109.516493522776 31.3215457862264,-109.515837748838 31.3198044716634,-109.515862563366 31.319198147241,-109.518727493885 31.3192217790726,-109.518758227903 31.3197402567704,-109.518778936563 31.3201047240037,-109.518835460658 31.3207315840808,-109.518897974601 31.3215425081731,-109.518506846315 31.3215430447496,-109.518210134592 31.3215434506343,-109.517935180669 31.3215438260015,-109.517649376169 31.3215442164174,-109.517610095992 31.3215442699842,-109.517323230971 31.3215446599269,-109.516904256709 31.3215452296682,-109.516493522776 31.3215457862264)))","Agua Prieta, Cipreses"
"MULTIPOLYGON (((-109.535255717881 31.3256670870324,-109.535191056896 31.325138925012,-109.535136566812 31.3246027678457,-109.536199630901 31.3245843407304,-109.537323218482 31.324566995454,-109.53843215105 31.3245769901352,-109.539469280597 31.3246053992832,-109.540512656209 31.3246023405172,-109.542198532158 31.3245748266158,-109.543322688897 31.3245409160232,-109.544445887639 31.3245692163693,-109.545497085518 31.3245655713794,-109.545704968187 31.3256085888977,-109.54562567277 31.3256089834267,-109.544574817288 31.3256142047783,-109.543396792572 31.3256200477359,-109.542345591964 31.3256252526619,-109.541220890345 31.3256308119227,-109.540587784568 31.3256339364357,-109.539537382784 31.3256391145836,-109.538539469996 31.3256474896521,-109.53848757279 31.3256479244708,-109.537940804755 31.3256525104456,-109.537342975325 31.3256575219372,-109.536294259457 31.3256663064062,-109.535255717881 31.3256670870324)))","Agua Prieta, Col Acapulco"
"MULTIPOLYGON (((-109.580400442798 31.3227722056365,-109.580490915344 31.3220221975996,-109.580601999135 31.3211013026263,-109.580649638422 31.3206463501864,-109.580659091957 31.3205560690523,-109.580702591957 31.3203475234385,-109.580708333176 31.320320000528,-109.583526823293 31.3207403270411,-109.583622919303 31.3212155506128,-109.583614567195 31.3213103529368,-109.583309999555 31.3251100021442,-109.582520029841 31.3252403272615,-109.582442922086 31.3252530495498,-109.581694654516 31.325375457646,-109.581113085165 31.3254705953528,-109.580109466278 31.3256010013823,-109.579763168044 31.3255709068627,-109.579599336751 31.3252611703806,-109.579874296195 31.3248602717255,-109.580080513998 31.3245595958406,-109.580316482482 31.3234682210836,-109.580400442798 31.3227722056365)))","Agua Prieta, Coronado"
"MULTIPOLYGON (((-109.513495876393 31.3316181376983,-109.513938265656 31.331623033629,-109.514332268432 31.3316273995977,-109.515525361829 31.3316008349052,-109.515931836213 31.3316128121064,-109.516243589107 31.3316219905116,-109.517247536232 31.3316490918945,-109.517780370036 31.3316478365235,-109.51823695805 31.3316524243858,-109.518739083095 31.3316544534865,-109.519320562539 31.3316580613384,-109.519861414842 31.3316666378651,-109.52038381352 31.3316689758014,-109.520414345471 31.3326266846528,-109.520434989151 31.3333989277228,-109.520459597515 31.3335340969928,-109.513684283871 31.3335615713348,-109.513648272053 31.3333228193559,-109.513495876393 31.3316181376983)))","Agua Prieta, Cueva de Los Leones"
"MULTIPOLYGON (((-109.583876666785 31.3186116683061,-109.583129580484 31.3160300161771,-109.585456795113 31.3156922694001,-109.588065561154 31.3153136074795,-109.588624513167 31.3152324727923,-109.588620097168 31.3155324486356,-109.588622521724 31.3156501810994,-109.588622340392 31.3160170520717,-109.588622135332 31.3164310850455,-109.588621904355 31.3168967629866,-109.588621713627 31.3172816057385,-109.588621601107 31.3175079863616,-109.588575974694 31.317620424092,-109.588077635974 31.317640460705,-109.588068835335 31.3189426127208,-109.588084261519 31.319231926714,-109.585044269191 31.3186009587489,-109.583876666785 31.3186116683061)))","Agua Prieta, Del Parque"
"MULTIPOLYGON (((-109.520459597515 31.3335340969928,-109.520434989151 31.3333989277228,-109.520414345471 31.3326266846528,-109.52038381352 31.3316689758014,-109.520352550445 31.3311612027354,-109.520311294907 31.3306374748274,-109.52022290233 31.3297017237542,-109.520214446404 31.3295155480378,-109.520178508557 31.3287243144194,-109.520152759539 31.3276594666347,-109.520067355073 31.3271737049041,-109.520024162037 31.3266932845853,-109.519989574968 31.3261899891048,-109.519937590566 31.3257500659518,-109.519911966118 31.3251981323204,-109.519877076691 31.3246279067697,-109.521343500787 31.3246702204435,-109.522461387085 31.3246447325169,-109.523530699334 31.3246414799872,-109.524593670771 31.3246536992911,-109.525632600912 31.3246656409351,-109.526178016601 31.3246693560988,-109.526714915905 31.3246567393955,-109.52769874784 31.3246582422004,-109.528782023438 31.3246696991195,-109.529843165721 31.3246505373644,-109.530940455453 31.3246381431622,-109.531917726493 31.3246374233694,-109.533046196329 31.3246452389654,-109.534117853738 31.324623749224,-109.535136566812 31.3246027678457,-109.535191056896 31.325138925012,-109.535255717881 31.3256670870324,-109.53533542039 31.326651246544,-109.535425295961 31.32762741179,-109.535519551335 31.328651142944,-109.535612321276 31.3296643364788,-109.535685797487 31.3306107654468,-109.535796068457 31.3316320798265,-109.535878572011 31.3325947194145,-109.53595598588 31.3333269605764,-109.535971201335 31.3334716644981,-109.520459597515 31.3335340969928)))","Agua Prieta, Deportiva"
"MULTIPOLYGON (((-109.566615880827 31.3191880372269,-109.566560578679 31.3187513097953,-109.566465594451 31.3181995484104,-109.566405943122 31.317607576705,-109.566363543039 31.3171038671587,-109.566312969481 31.3166320676292,-109.566257906544 31.3161789158095,-109.566193254605 31.3157289340216,-109.566145790756 31.315407461567,-109.566110722298 31.3150978539089,-109.566085361437 31.3148034708026,-109.565213082409 31.3147698346182,-109.564622403828 31.3147470548066,-109.56345855866 31.3147667276322,-109.562514842222 31.3147797098217,-109.562370852508 31.3147797504025,-109.561829226685 31.314779883546,-109.560693678666 31.3147604783316,-109.559844615398 31.3147558308607,-109.559804064844 31.3143184381388,-109.559750532528 31.313862004161,-109.559692907965 31.3133706709163,-109.559643896643 31.3129527839851,-109.55959009371 31.3124971091668,-109.559545506459 31.3120381626441,-109.559508754382 31.3115336650851,-109.559436101439 31.3110460342738,-109.559379748874 31.3105981558508,-109.559322322824 31.310102189655,-109.559262445672 31.3096649275416,-109.55921466217 31.3091725458128,-109.559175979813 31.3086467746402,-109.559121731858 31.3081947756627,-109.559025382922 31.3072770510771,-109.559801789088 31.3070265275455,-109.561058814435 31.3066239663491,-109.561606274191 31.3064170207843,-109.561954726437 31.3063317658143,-109.562654930497 31.3063126432606,-109.563020783387 31.3063026437128,-109.56397590511 31.3064486281892,-109.564934144439 31.3066026691998,-109.565574586111 31.3067093034094,-109.566205636482 31.3069231105346,-109.566905364649 31.3071655832977,-109.567617223903 31.3074126779483,-109.567608993331 31.3074960671353,-109.567473856887 31.3088651555029,-109.567434003661 31.309268902734,-109.567386585117 31.3097492991715,-109.567335101794 31.3102708566082,-109.567300976545 31.3106165657506,-109.567247218068 31.311161162173,-109.567198662652 31.3116530460528,-109.567195944863 31.3116805821576,-109.567139170395 31.3122557170713,-109.567065582308 31.3130154725034,-109.567017302407 31.3130781441634,-109.567031758227 31.313136100965,-109.567143024839 31.3135822050739,-109.5672007838 31.3141398502215,-109.568221324883 31.3152387131995,-109.568202278074 31.3155691544914,-109.568526112689 31.3157669753093,-109.568329478613 31.3166785759818,-109.568245057854 31.3170036352718,-109.568229484952 31.317063614335,-109.568103121308 31.3175501495141,-109.567998317758 31.3179754790475,-109.567769710136 31.3189045919293,-109.567262830361 31.319167738336,-109.566615880827 31.3191880372269)))","Agua Prieta, Ejidal"
"MULTIPOLYGON (((-109.552042456747 31.317616696669,-109.550965039575 31.3176043885172,-109.550427867712 31.3175983233576,-109.54986729916 31.3176124611317,-109.548892754518 31.3176029442513,-109.548355582654 31.3175968706339,-109.547886548615 31.3175942867341,-109.547377612423 31.3176056007536,-109.546832477374 31.3176546762385,-109.546320671868 31.3176570060382,-109.546153172817 31.3176577688549,-109.5458667043 31.3176590728539,-109.544615101732 31.3176647638366,-109.544516256472 31.3166309129022,-109.544425838644 31.3156103277625,-109.544373005743 31.3148983339821,-109.544306303932 31.3140335207533,-109.544356519597 31.3139400465375,-109.545388198619 31.3134484155047,-109.546060926437 31.313127838256,-109.546169444968 31.3130991249095,-109.546330093062 31.3130734397646,-109.547242324233 31.312593973541,-109.547294561703 31.3125707337873,-109.548257916801 31.3121421379357,-109.548347168184 31.3120948006066,-109.548472233685 31.312028468235,-109.549279127432 31.3116005023149,-109.550274849374 31.3110723710827,-109.550356869523 31.3110288674112,-109.551299172695 31.3105290559509,-109.551652999046 31.3103413781626,-109.552241466017 31.310029236826,-109.55328157299 31.309454185954,-109.554106798787 31.3089978975169,-109.555034964761 31.3086723733387,-109.556059299938 31.3083131339333,-109.55712112479 31.3079407263619,-109.557984730629 31.3076378699006,-109.559025382922 31.3072770510771,-109.559121731858 31.3081947756627,-109.559175979813 31.3086467746402,-109.55921466217 31.3091725458128,-109.559262445672 31.3096649275416,-109.559322322824 31.310102189655,-109.559379748874 31.3105981558508,-109.559436101439 31.3110460342738,-109.559508754382 31.3115336650851,-109.559545506459 31.3120381626441,-109.55959009371 31.3124971091668,-109.559643896643 31.3129527839851,-109.559692907965 31.3133706709163,-109.559750532528 31.313862004161,-109.559804064844 31.3143184381388,-109.559844615398 31.3147558308607,-109.559946226452 31.3156655415879,-109.558948423149 31.3156123553503,-109.558780340314 31.3155927712023,-109.5548483789 31.3156085497447,-109.554899114793 31.3160933599281,-109.554949646871 31.31657620939,-109.555056174206 31.317594137584,-109.554035269026 31.3175950799951,-109.553029378673 31.3176200482509,-109.552042456747 31.317616696669)))","Agua Prieta, Ejidal 1"
"MULTIPOLYGON (((-109.540512656209 31.3246023405172,-109.540456018434 31.3235748940852,-109.540336947191 31.322579624023,-109.54025485048 31.3216201427798,-109.540150004289 31.3206540813311,-109.540093086908 31.3196446361674,-109.540938683688 31.3196410530664,-109.541705323691 31.3196377991469,-109.542799365841 31.3196441049281,-109.543877167559 31.3196198246669,-109.544930186084 31.319598904145,-109.545069294473 31.3206791180246,-109.545162204752 31.3215992783589,-109.545255907392 31.322571471556,-109.545385555127 31.3235686233551,-109.545497085518 31.3245655713794,-109.544445887639 31.3245692163693,-109.543322688897 31.3245409160232,-109.542198532158 31.3245748266158,-109.540512656209 31.3246023405172)))","Agua Prieta, Esperanza"
